tag,sp,quadrat,dbh,hom,Height (m),Notes
160372,FOLI,1608,14,1.37,2.6,
160383,ACSA3,1608,70,1.35,7.7,
160393,ACSA3C,1608,129,1.37,18.4,
160405,FRAMCO,1608,114,1.37,10.9,
160415,QUAL,1608,334,1.37,23.1,
160425,ACSA3C,1609,154,1.37,12.1,
160429,QUAL,1609,498,,16.3,
160435,ULAL,1609,357.5,1.37,20.1,
160445,VIRU,1609,34,1.37,,broken crown and dead
160455,OSVI,1609,59,1.37,3.8,
160465,FRCA13,1609,11.7,1.37,2.9,
160475,CACA38,1609,438,1.37,34.0,
160485,ULAL,1608,50,1.37,3.2,
160495,ULAL,1610,114,1.37,11.4,
160506,AEFL,1610,353,1.37,19.1,
160516,ACSA3,1610,73.5,1.37,10.2,
160526,TIAM,1610,49,1.37,2.9,
160536,FRAMCO,1610,38,1.37,2.1,
160546,OSVI,1610,11.1,1.37,1.9,
160558,ACSA3C,1610,244,1.37,14.0,
160568,TIAM,1610,52,1.37,6.5,
160578,FAGR,1610,83,1.37,4.8,
170300,FRCA13,1706,21.5,1.37,2.0,
170310,FRCA13,1706,17,1.37,1.8,
170320,FRCA13,1706,28.8,1.37,4.8,
170330,FRCA13,1706,146,1.37,1.7,
170340,JUVI,1706,168,1.37,12.7,
170350,ACSA3,1706,122,1.12,12.9,
170360,AESCU,1706,24.6,1.37,1.9,
170370,ACSA3C,1707,128.5,1.37,14.5,
170380,TIAM,1707,356,1.37,23.8,
170392,ULAL,1707,60,1.35,3.3,
170402,ACSA3C,1707,160,1.25,12.5,
170412,FRCA13,1708,14,1.37,1.9,
170422,FRCA13,1708,13.2,1.37,2.1,
170434,ULAL,1708,29.2,1.37,3.0,
170444,ACSA3,1708,40,1.37,3.2,
170454,FRAMCO,1708,186,1.37,22.4,
170464,OSVI,1708,56,1.37,9.3,
170474,TIAM,1708,34,1.37,,tag lost; fallen and dead
170487,ACSA3C,1709,21.8,1.37,3.1,
170488,QUAL,1709,599,,24.2,
170497,QUAL,1709,56,1.37,4.7,
170513,FRCA13,1709,15.4,1.37,2.7,
170524,QUMU,1709,229.5,1.37,16.7,
170534,FRAMCO,1709,37,1.37,7.0,
170545,FRCA13,1709,14.3,1.37,2.4,
170555,FAGR,1709,32,1.32,2.1,
170565,CAOV2,1708,126,1.37,7.9,
180242,ACSA3,1805,32,1.37,1.6,
180252,ACSAS2,1805,39,1.37,3.3,
180262,ACSA3,1805,147,1.37,18.0,
180266,QUAL,1805,364,,17.9,
180272,ACSAS2,1805,67,1.37,2.2,leaning from neighboring fallen tree
180282,ACSA3C,1806,59,1.42,10.1,
180292,ACSA3C,1806,124,1.37,15.1,
180302,CATO6,1806,174.5,1.37,17.5,
180312,ACSA3,1806,36,1.37,3.9,
180322,ACSA3C,1806,62,1.37,9.3,
180332,FRAM2,1807,434,1.37,25.9,
180342,FRCA13,1807,15.4,1.37,3.2,
180352,OSVI,1807,30,0.82,4.3,
180362,OSVI,1807,30,1.39,2.9,
180370,QUAL,1807,331,,28.5,
180372,ACSA3,1807,25.8,1.37,3.2,
180383,FRCA13,1807,16.8,1.37,1.7,
180394,CATO6,1807,405,1.37,27.2,
180395,QUAL,1807,335,,44.1,
180399,QUAL,1808,550,,38.8,
180400,QUAL,1808,522.5,,33.9,
180404,ACSA3,1808,65,1.37,7.3,
180414,ACSAL,1808,169,1.37,24.1,
180424,TIAM,1808,101.5,1.37,14.3,
180434,FRCA13,1808,15.6,1.37,1.8,
190179,OSVI,1904,45,1.37,4.3,
190189,ACSA3,1904,68.5,1.37,5.5,
190199,VIRU,1904,61,1.37,2.4,
190203,QUAL,1904,369,,32.8,
190209,CAOV3,1904,211,1.37,17.7,
190219,CACA38,1905,311,1.37,13.7,
190229,QUAL,1905,310.5,1.37,22.1,
190239,QUFA,1905,408,1.37,28.0,
190249,FAGR,1906,120.5,1.32,16.0,
190259,CATO6,1906,212,1.37,21.7,
190260,LIST2,1906,305,,29.0,
190269,CATO6,1906,297,1.37,24.2,
190279,ULAL,1907,104.5,1.37,14.3,
190289,ACSA3,1907,67,1.39,7.3,
190299,FAGR,1907,36,0.97,2.7,
190309,CAGL8,1907,227,1.37,16.9,
190319,ACSA3,1907,23.8,1.39,2.2,
