"","tag","sp.x","quadrat.x","dbh.x","hom.x","Height..m.","Notes"
"300",150599,"FAGR",1510,44,1.37,"3.7",""
"301",150609,"TIAM",1510,37,1.37,"0.9",""
"302",150619,"MAAC",1510,36,1.37,"2.7",""
"303",150630,"FAGR",1510,62,1.39,"4.8",""
"304",150640,"LIST2",1511,248,1.37,"13.7",""
"305",150652,"TIAM",1511,65,1.37,"4.6",""
"306",150663,"TIAM",1511,154,1.37,"14.5",""
"307",150670,"LIST2",1511,366,NA,"44.8",""
"308",150671,"LIST2",1511,431,NA,"16.9",""
"309",150673,"FAGR",1511,38,1.37,"5.2",""
"310",150683,"ACSA3",1511,117,1.37,"9.1",""
"311",150696,"ACSA3",1511,391,1.37,"23.2",""
"312",160297,"ACSA3",1607,69,1.37,"5.5",""
"313",160310,"OSVI",1607,36,1.37,"","fallen and dead"
"314",160321,"ACSA3C",1607,41,1.37,"4.2",""
"315",160331,"MAAC",1607,128,1.37,"13.5",""
"316",160341,"ULAL",1607,25,1.37,"2.1",""
"317",160352,"ACSA3C",1607,137,1.37,"15.3",""
"318",160362,"CAOV2",1607,264,1.37,"24.8",""
"319",160372,"FOLI",1608,14,1.37,"2.6",""
"320",160383,"ACSA3",1608,70,1.35,"7.7",""
"321",160393,"ACSA3C",1608,129,1.37,"18.4",""
"322",160405,"FRAMCO",1608,114,1.37,"10.9",""
"323",160415,"QUAL",1608,334,1.37,"23.1",""
"324",160425,"ACSA3C",1609,154,1.37,"12.1",""
"325",160429,"QUAL",1609,498,NA,"16.3",""
"326",160435,"ULAL",1609,357.5,1.37,"20.1",""
"327",160445,"VIRU",1609,34,1.37,"","broken crown and dead"
"328",160455,"OSVI",1609,59,1.37,"3.8",""
"329",160465,"FRCA13",1609,11.7,1.37,"2.9",""
"330",160475,"CACA38",1609,438,1.37,"34.0",""
"331",160485,"ULAL",1608,50,1.37,"3.2",""
"332",160495,"ULAL",1610,114,1.37,"11.4",""
"333",160506,"AEFL",1610,353,1.37,"19.1",""
"334",160516,"ACSA3",1610,73.5,1.37,"10.2",""
"335",160526,"TIAM",1610,49,1.37,"2.9",""
"336",160536,"FRAMCO",1610,38,1.37,"2.1",""
"337",160546,"OSVI",1610,11.1,1.37,"1.9",""
"338",160558,"ACSA3C",1610,244,1.37,"14.0",""
"339",160568,"TIAM",1610,52,1.37,"6.5",""
"340",160578,"FAGR",1610,83,1.37,"4.8",""
"341",170300,"FRCA13",1706,21.5,1.37,"2.0",""
"342",170310,"FRCA13",1706,17,1.37,"1.8",""
"343",170320,"FRCA13",1706,28.8,1.37,"4.8",""
"344",170330,"FRCA13",1706,146,1.37,"1.7",""
"345",170340,"JUVI",1706,168,1.37,"12.7",""
"346",170350,"ACSA3",1706,122,1.12,"12.9",""
"347",170360,"AESCU",1706,24.6,1.37,"1.9",""
"348",170370,"ACSA3C",1707,128.5,1.37,"14.5",""
"349",170380,"TIAM",1707,356,1.37,"23.8",""
"350",170392,"ULAL",1707,60,1.35,"3.3",""
"351",170402,"ACSA3C",1707,160,1.25,"12.5",""
"352",170412,"FRCA13",1708,14,1.37,"1.9",""
"353",170422,"FRCA13",1708,13.2,1.37,"2.1",""
"354",170434,"ULAL",1708,29.2,1.37,"3.0",""
"355",170444,"ACSA3",1708,40,1.37,"3.2",""
"356",170454,"FRAMCO",1708,186,1.37,"22.4",""
"357",170464,"OSVI",1708,56,1.37,"9.3",""
"358",170474,"TIAM",1708,34,1.37,"","tag lost; fallen and dead"
"359",170487,"ACSA3C",1709,21.8,1.37,"3.1",""
"360",170488,"QUAL",1709,599,NA,"24.2",""
"361",170497,"QUAL",1709,56,1.37,"4.7",""
"362",170513,"FRCA13",1709,15.4,1.37,"2.7",""
"363",170524,"QUMU",1709,229.5,1.37,"16.7",""
"364",170534,"FRAMCO",1709,37,1.37,"7.0",""
"365",170545,"FRCA13",1709,14.3,1.37,"2.4",""
"366",170555,"FAGR",1709,32,1.32,"2.1",""
"367",170565,"CAOV2",1708,126,1.37,"7.9",""
"368",180242,"ACSA3",1805,32,1.37,"1.6",""
